ticker,gemeinsame_gap_tage,gap_tage_gesamt,gemeinsame_daten
BHB,1,263,2026-04-08
BHC,1,62,2026-04-08
BHE,1,57,2026-04-08
BHRB,1,20,2026-04-08
BIRK,1,14,2026-04-08
BIXI,1,38,2026-04-08
BIXIU,1,44,2026-04-08
BJRI,1,60,2026-04-08
BKD,1,55,2026-04-08
BKE,1,57,2026-04-08
BKKT,1,39,2026-04-08
BKNG,1,98,2026-04-08
BKU,1,62,2026-04-08
BLBD,1,79,2026-04-08
BLCO,1,10,2026-04-08
BLDP,1,96,2026-04-08
BLDR,1,66,2026-04-08
BLFS,1,64,2026-04-08
BLIV,1,32,2026-04-08
BLZR,1,40,2026-08-27
BLZRU,1,51,2026-04-08
BMHL,1,40,2026-08-27
BMI,1,67,2026-04-08
BMR,1,22,2026-04-08
BMRC,1,98,2026-04-08
BNBX,1,82,2026-04-08
BNS,1,103,2026-04-08
BOBP,1,140,2026-04-08
BOH,1,63,2026-04-08
BOOT,1,47,2026-04-08
BPAC,1,29,2026-08-27
BPACR,1,13,2026-04-08
BRBS,1,79,2026-04-08
BRKR,1,59,2026-04-08
BRSL,1,45,2026-04-08
BSRR,1,81,2026-04-08
BSVN,1,118,2026-04-08
BTBT,1,45,2026-04-08
BTCS,1,44,2026-04-08
BTDR,1,90,2026-04-08
BTGO,1,3,2026-04-08
BTM,1,73,2026-04-08
BTSGU,1,176,2026-04-08
BTX,1,12,2026-04-08
BULL,1,5,2026-04-08
BURL,1,70,2026-04-08
BUSE,1,52,2026-04-08
BVS,1,19,2026-04-08
BWB,1,23,2026-04-08
BWFG,1,118,2026-04-08
BWMN,1,33,2026-04-08
BWMX,1,31,2026-04-08
BWXT,1,57,2026-04-08
BXC,1,83,2026-04-08
BXMT,1,65,2026-04-08
BXP,1,39,2026-04-08
BYD,1,78,2026-04-08
BYFC,1,530,2026-04-08
BYRN,1,17,2026-04-08
BZ,1,46,2026-04-08
BZFD,1,30,2026-04-08
BZH,1,57,2026-04-08
CAAP,1,21,2026-04-08
CAC,1,55,2026-04-08
CAEP,1,10,2026-04-08
CAKE,1,59,2026-04-08
CALX,1,49,2026-04-08
CALY,1,83,2026-04-08
CAMT,1,210,2026-04-08
CAPNU,1,19,2026-04-08
CARL,1,4,2026-04-08
CASS,1,45,2026-04-08
CATY,1,60,2026-04-08
CAVA,1,11,2026-04-08
CBAN,1,526,2026-04-08
CBFV,1,360,2026-04-08
CBRE,1,63,2026-04-08
CBU,1,56,2026-04-08
CCEC,1,71,2026-04-08
CCJ,1,51,2026-04-08
CCK,1,69,2026-04-08
CCXIU,1,37,2026-04-08
CDE,1,63,2026-04-08
CDNA,1,60,2026-04-08
CDNS,1,63,2026-04-08
CDRE,1,17,2026-04-08
CECO,1,66,2026-04-08
CELH,1,33,2026-04-08
CELU,1,95,2026-08-27
CENT,1,50,2026-04-08
CENTA,1,40,2026-04-08
CEPO,1,30,2026-04-08
CERS,1,57,2026-04-08
CEVA,1,63,2026-04-08
CFBK,1,249,2026-04-08
CFFI,1,480,2026-04-08
CFFN,1,33,2026-04-08
CFG,1,57,2026-04-08
CG,1,50,2026-04-08
CGABL,1,16,2026-08-27
CGAU,1,37,2026-04-08
CGCTU,1,43,2026-04-08
CGNX,1,61,2026-04-08
CHEC,1,37,2026-04-08
CHEF,1,39,2026-04-08
CHH,1,63,2026-04-08
CHMG,1,275,2026-04-08
CHPG,1,63,2026-04-08
CHPT,1,64,2026-04-08
CHYM,1,4,2026-04-08
CIFR,1,28,2026-04-08
CIGI,1,63,2026-04-08
CIVB,1,267,2026-04-08
CIX,1,662,2026-04-08
CLAR,1,53,2026-04-08
CLDT,1,38,2026-04-08
CLFD,1,126,2026-04-08
CLH,1,56,2026-04-08
CLMB,1,253,2026-04-08
CLSK,1,29,2026-04-08
CLST,1,192,2026-04-08
CLWT,1,234,2026-04-08
CLX,1,49,2026-04-08
CMCL,1,59,2026-04-08
CMCO,1,52,2026-04-08
CMPR,1,169,2026-04-08
CMRC,1,17,2026-04-08
CMSA,1,123,2026-04-08
CMSC,1,90,2026-04-08
CMSD,1,35,2026-04-08
CNF,1,143,2026-04-08
CNH,1,296,2026-04-08
CNK,1,53,2026-04-08
CNM,1,21,2026-04-08
CNMD,1,52,2026-04-08
CNNE,1,37,2026-04-08
CNOB,1,88,2026-04-08
CNXN,1,48,2026-04-08
COHR,1,70,2026-04-08
COHU,1,57,2026-04-08
COIN,1,29,2026-04-08
COLA,1,58,2026-04-08
COLB,1,47,2026-04-08
COLM,1,57,2026-04-08
COMP,1,18,2026-04-08
COO,1,75,2026-04-08
COPL,1,93,2026-04-08
CPAY,1,59,2026-04-08
CPF,1,73,2026-04-08
CPHC,1,752,2026-04-08
CPNG,1,16,2026-04-08
CPRI,1,66,2026-04-08
CRAC,1,43,2026-04-08
CRAN,1,29,2026-04-08
CRANU,1,20,2026-04-08
CRAQ,1,53,2026-04-08
CRBG,1,13,2026-04-08
CRCT,1,11,2026-04-08
CREX,1,71,2026-04-08
CRL,1,65,2026-04-08
CRM,1,84,2026-08-27
CRML,1,18,2026-04-08
CRNC,1,22,2026-04-08
CROX,1,64,2026-04-08
CRSP,1,25,2026-04-08
CRSR,1,22,2026-04-08
CRWV,1,12,2026-04-08
CSBR,1,124,2026-04-08
CSPI,1,385,2026-04-08
CSTL,1,18,2026-04-08
CSTM,1,47,2026-04-08
CTBI,1,41,2026-04-08
CTGO,1,76,2026-04-08
CTKB,1,9,2026-04-08
CTOS,1,85,2026-04-08
CTRI,1,6,2026-04-08
CUB,1,114,2026-04-08
CUBB,1,283,2026-04-08
CUBI,1,58,2026-04-08
CVCO,1,51,2026-04-08
CVLG,1,65,2026-04-08
CVLT,1,58,2026-04-08
CVM,1,124,2026-04-08
CVNA,1,39,2026-04-08
CWBC,1,289,2026-04-08
CWH,1,26,2026-04-08
CWK,1,24,2026-04-08
CXDO,1,50,2026-04-08
CXT,1,85,2026-04-08
CYCU,1,12,2026-04-08
CYD,1,60,2026-04-08
CYH,1,64,2026-04-08
CYPH,1,45,2026-04-08
CYRX,1,34,2026-04-08
CZFS,1,103,2026-04-08
CZNC,1,124,2026-04-08
CZWI,1,590,2026-04-08
DAAQ,1,53,2026-04-08
DAKT,1,48,2026-04-08
DAN,1,73,2026-04-08
DASH,1,24,2026-04-08
DAVE,1,39,2026-04-08
DCH,1,67,2026-04-08
DCI,1,56,2026-04-08
DCTH,1,45,2026-04-08
DDD,1,48,2026-04-08
DECK,1,71,2026-04-08
DFH,1,19,2026-04-08
DGICB,1,718,2026-04-08
DGII,1,47,2026-04-08
DHR,1,83,2026-04-08
DIOD,1,76,2026-04-08
DIT,1,793,2026-04-08
DJT,1,32,2026-04-08
DKI,1,8,2026-04-08
DKS,1,92,2026-04-08
DLHC,1,321,2026-04-08
DLO,1,17,2026-04-08
DLR,1,50,2026-04-08
DMAAR,1,50,2026-04-08
DMAAU,1,52,2026-04-08
