ticker,gemeinsame_gap_tage,gap_tage_gesamt,gemeinsame_daten
MIDD,1,59,2026-04-08
MITK,1,37,2026-04-08
MITT,1,34,2026-04-08
MKLY,1,51,2026-04-08
MKSI,1,72,2026-04-08
MLACR,1,61,2026-04-08
MLI,1,56,2026-04-08
MLKN,1,55,2026-04-08
MLM,1,54,2026-04-08
MLP,1,210,2026-04-08
MLR,1,52,2026-04-08
MMI,1,36,2026-04-08
MMM,1,81,2026-04-08
MMSI,1,59,2026-04-08
MMYT,1,33,2026-04-08
MNRO,1,35,2026-04-08
MNSO,1,85,2026-04-08
MNST,1,41,2026-04-08
MNTN,1,6,2026-04-08
MP,1,46,2026-04-08
MPAA,1,63,2026-04-08
MPB,1,551,2026-04-08
MPWR,1,77,2026-04-08
MPX,1,114,2026-04-08
MRAM,1,32,2026-04-08
MRBK,1,161,2026-04-08
MRP,1,5,2026-04-08
MRTN,1,45,2026-04-08
MSFT,1,98,2026-04-08
MSTR,1,84,2026-04-08
MTA,1,20,2026-04-08
MTB,1,80,2026-04-08
MTD,1,73,2026-04-08
MTEX,1,412,2026-04-08
MTH,1,67,2026-04-08
MTRN,1,63,2026-04-08
MTSI,1,39,2026-04-08
MTW,1,84,2026-04-08
MTX,1,74,2026-04-08
MTZ,1,71,2026-04-08
MU,1,110,2026-04-08
MUX,1,78,2026-04-08
MVST,1,98,2026-04-08
MWA,1,74,2026-04-08
MXL,1,52,2026-04-08
MYE,1,45,2026-04-08
MYFW,1,94,2026-04-08
MYRG,1,50,2026-04-08
MYSZ,1,93,2026-04-08
NAGE,1,28,2026-04-08
NAII,1,284,2026-08-27
NAVN,1,4,2026-04-08
NB,1,14,2026-04-08
NBHC,1,47,2026-04-08
NBIS,1,78,2026-04-08
NBN,1,359,2026-04-08
NBTB,1,53,2026-04-08
NCLH,1,76,2026-04-08
NCMI,1,54,2026-04-08
NDAQ,1,58,2026-04-08
NDSN,1,68,2026-04-08
NEGG,1,158,2026-04-08
NEO,1,33,2026-04-08
NEOG,1,39,2026-04-08
NESR,1,9,2026-04-08
NEWT,1,145,2026-04-08
NEWTI,1,152,2026-04-08
NGVT,1,34,2026-04-08
NHIC,1,61,2026-04-08
NKE,1,100,2026-04-08
NKSH,1,222,2026-04-08
NKTX,1,9,2026-04-08
NLY,1,51,2026-04-08
NMRK,1,25,2026-04-08
NNE,1,6,2026-04-08
NNVC,1,93,2026-04-08
NOEM,1,83,2026-04-08
NOVT,1,27,2026-04-08
NOVTU,1,46,2026-04-08
NPACU,1,46,2026-04-08
NPK,1,43,2026-04-08
NPKI,1,41,2026-04-08
NPO,1,67,2026-04-08
NPWR,1,74,2026-04-08
NRDS,1,13,2026-04-08
NRG,1,53,2026-04-08
NRIM,1,123,2026-04-08
NRUC,1,45,2026-04-08
NSIT,1,54,2026-04-08
NSSC,1,101,2026-04-08
NSTS,1,193,2026-04-08
NSYS,1,629,2026-08-27
NTB,1,39,2026-04-08
NTCT,1,62,2026-04-08
NUE,1,70,2026-04-08
NUVB,1,16,2026-04-08
NUVL,1,10,2026-04-08
NVAX,1,98,2026-04-08
NVCR,1,35,2026-04-08
NVEC,1,75,2026-04-08
NVMI,1,227,2026-04-08
NVO,1,653,2026-04-08
NVR,1,36,2026-04-08
NVST,1,21,2026-04-08
NVTS,1,25,2026-04-08
NWL,1,69,2026-04-08
NWPX,1,45,2026-04-08
NXDR,1,19,2026-04-08
NXE,1,85,2026-04-08
NXL,1,35,2026-08-27
NXPI,1,81,2026-04-08
NXRT,1,26,2026-04-08
NXT,1,21,2026-04-08
NXTS,1,64,2026-04-08
OBAI,1,6,2026-08-27
OBK,1,23,2026-04-08
OCFC,1,58,2026-04-08
ODV,1,31,2026-04-08
OFIX,1,52,2026-04-08
OFLX,1,184,2026-04-08
OIMAU,1,17,2026-04-08
OKLO,1,117,2026-04-08
OLED,1,716,2026-04-08
OLMA,1,11,2026-04-08
OMCL,1,50,2026-04-08
OMEX,1,75,2026-04-08
ON,1,83,2026-04-08
ONB,1,49,2026-04-08
ONCH,1,46,2026-04-08
ONON,1,23,2026-04-08
ONTO,1,60,2026-04-08
OPEN,1,30,2026-04-08
OPFI,1,27,2026-04-08
OPLN,1,64,2026-04-08
OPY,1,41,2026-04-08
ORCL,1,96,2026-04-08
ORLA,1,22,2026-04-08
ORN,1,54,2026-04-08
ORRF,1,119,2026-04-08
OSK,1,74,2026-04-08
OSW,1,20,2026-04-08
OTEX,1,58,2026-04-08
OTGAU,1,39,2026-08-27
OUST,1,24,2026-04-08
OVBC,1,684,2026-04-08
OVLY,1,513,2026-04-08
OXSQG,1,263,2026-04-08
PAAS,1,85,2026-04-08
PACB,1,28,2026-04-08
PACS,1,8,2026-04-08
PAGS,1,24,2026-04-08
PAL,1,5,2026-04-08
PANW,1,72,2026-08-27
PATK,1,190,2026-04-08
PAVM,1,77,2026-04-08
PAX,1,15,2026-04-08
PAXS,1,13,2026-04-08
PAYO,1,36,2026-04-08
PBI,1,48,2026-04-08
PBM,1,111,2026-04-08
PCYO,1,81,2026-04-08
PDFS,1,55,2026-04-08
PDM,1,34,2026-04-08
PEBK,1,575,2026-04-08
PENG,1,40,2026-04-08
PETZ,1,122,2026-04-08
PFAI,1,32,2026-08-27
PFGC,1,37,2026-04-08
PFH,1,21,2026-04-08
PFSI,1,29,2026-04-08
PGY,1,47,2026-04-08
PHAR,1,301,2026-04-08
PHIN,1,17,2026-04-08
PHM,1,58,2026-04-08
PI,1,34,2026-04-08
PIPR,1,77,2026-04-08
PJT,1,38,2026-04-08
PKBK,1,352,2026-04-08
PKE,1,38,2026-04-08
PKG,1,68,2026-04-08
PKOH,1,55,2026-04-08
PLAB,1,60,2026-04-08
PLBC,1,631,2026-04-08
PLCE,1,63,2026-04-08
PLD,1,56,2026-04-08
PLG,1,113,2026-04-08
PLMK,1,85,2026-04-08
PLOW,1,51,2026-04-08
PLPC,1,198,2026-04-08
PLUG,1,101,2026-04-08
PLUS,1,68,2026-04-08
PLXS,1,64,2026-04-08
PNC,1,79,2026-04-08
PNFP,1,164,2026-04-08
PNNT,1,54,2026-04-08
POLE,1,90,2026-04-08
POOL,1,46,2026-04-08
POWI,1,46,2026-04-08
POWL,1,57,2026-04-08
PPG,1,89,2026-04-08
PPSI,1,284,2026-04-08
PPTA,1,32,2026-04-08
PRAA,1,52,2026-04-08
PRAX,1,16,2026-04-08
PRIM,1,64,2026-04-08
PRKS,1,48,2026-04-08
PRLB,1,45,2026-04-08
PRME,1,6,2026-04-08
PROV,1,219,2026-04-08
PRSU,1,63,2026-04-08
PRTH,1,126,2026-04-08
PSFE,1,30,2026-04-08
PSIX,1,8,2026-04-08
PSMT,1,44,2026-04-08
PSNL,1,15,2026-04-08
PSTG,1,67,2026-04-08
PTHS,1,57,2026-04-08
PTRN,1,3,2026-04-08
PUBM,1,26,2026-04-08
PWP,1,17,2026-04-08
PXED,1,2,2026-04-08
PZG,1,106,2026-04-08
QBTS,1,36,2026-04-08
QCOM,1,105,2026-04-08
QCRH,1,209,2026-04-08
QDEL,1,57,2026-04-08
QGEN,1,275,2026-04-08
QNCX,1,21,2026-04-08
QRVO,1,38,2026-04-08
QS,1,30,2026-04-08
QSI,1,28,2026-04-08
QUAD,1,24,2026-04-08
QUBT,1,20,2026-04-08
QUMSR,1,31,2026-04-08
QXO,1,165,2026-04-08
RAAQ,1,28,2026-04-08
RACE,1,293,2026-04-08
RAND,1,822,2026-04-08
RANG,1,96,2026-08-27
RBB,1,29,2026-04-08
RBBN,1,63,2026-04-08
RBCAA,1,88,2026-04-08
RBKB,1,279,2026-04-08
RBOT,1,243,2026-04-08
RCEL,1,35,2026-04-08
RCKY,1,86,2026-04-08
RCL,1,108,2026-04-08
RDAG,1,64,2026-04-08
RDDT,1,18,2026-04-08
RDNT,1,35,2026-04-08
RDNW,1,27,2026-04-08
RDVT,1,30,2026-04-08
RDZN,1,94,2026-04-08
REAL,1,14,2026-04-08
REAX,1,21,2026-04-08
REKR,1,41,2026-04-08
RELL,1,93,2026-04-08
RERE,1,20,2026-04-08
REXR,1,29,2026-04-08
REZI,1,28,2026-04-08
RFAI,1,130,2026-04-08
RGA,1,86,2026-04-08
RGCO,1,524,2026-04-08
RGEN,1,53,2026-04-08
RGLD,1,50,2026-04-08
RGTI,1,38,2026-04-08
RHP,1,51,2026-04-08
RHRX,1,357,2026-04-08
RIME,1,43,2026-04-08
RIOT,1,107,2026-04-08
RITM,1,40,2026-04-08
RKDA,1,73,2026-04-08
RKLB,1,35,2026-04-08
RKT,1,32,2026-04-08
RLJ,1,34,2026-04-08
RLTY,1,24,2026-04-08
RMAX,1,36,2026-04-08
RMBI,1,105,2026-04-08
RMBS,1,75,2026-04-08
RMD,1,115,2026-04-08
RNST,1,57,2026-04-08
ROAD,1,23,2026-04-08
ROCK,1,51,2026-04-08
ROG,1,68,2026-04-08
ROKU,1,37,2026-04-08
ROMA,1,34,2026-08-27
ROOT,1,13,2026-04-08
RPC,1,21,2026-04-08
RPM,1,70,2026-04-08
RR,1,9,2026-04-08
RRBI,1,161,2026-04-08
RRR,1,28,2026-04-08
RRX,1,86,2026-04-08
RSI,1,55,2026-04-08
RSSS,1,72,2026-04-08
RTO,1,80,2026-04-08
RUBI,1,10,2026-04-08
RUM,1,40,2026-04-08
RUN,1,45,2026-04-08
RUSHA,1,51,2026-04-08
RVLV,1,24,2026-04-08
RVTY,1,69,2026-04-08
RWT,1,56,2026-04-08
RWTN,1,106,2026-04-08
RXO,1,12,2026-04-08
RXRX,1,9,2026-04-08
RYAM,1,32,2026-04-08
RYZ,1,20,2026-04-08
SAAQU,1,32,2026-08-27
SAIH,1,113,2026-04-08
SAIL,1,4,2026-08-27
SANM,1,73,2026-04-08
SARO,1,8,2026-04-08
SBCF,1,62,2026-04-08
SBET,1,89,2026-04-08
SBH,1,51,2026-04-08
SBXE,1,25,2026-08-27
SCCF,1,208,2026-04-08
SCCG,1,155,2026-04-08
SCCO,1,399,2026-04-08
SCSC,1,50,2026-04-08
SDGR,1,18,2026-04-08
SDHIR,1,28,2026-04-08
SE,1,49,2026-04-08
SEIC,1,66,2026-04-08
SEMR,1,36,2026-04-08
SERV,1,8,2026-04-08
SEVN,1,68,2026-04-08
SEZL,1,15,2026-04-08
SFBC,1,608,2026-04-08
SFBS,1,45,2026-04-08
SFNC,1,35,2026-04-08
SFWL,1,74,2026-04-08
SGC,1,164,2026-04-08
SGHC,1,23,2026-04-08
SGLY,1,238,2026-04-08
SGRP,1,516,2026-04-08
SHAK,1,43,2026-04-08
SHBI,1,146,2026-04-08
SHC,1,18,2026-04-08
SHLS,1,19,2026-04-08
SHOO,1,60,2026-04-08
SHOP,1,42,2026-04-08
SHW,1,60,2026-04-08
SIBN,1,17,2026-04-08
SILA,1,8,2026-04-08
SIMA,1,121,2026-08-27
SINT,1,85,2026-04-08
SITE,1,32,2026-04-08
SITM,1,36,2026-04-08
SKE,1,23,2026-04-08
SKYT,1,19,2026-04-08
SKYW,1,67,2026-04-08
SKYX,1,4,2026-04-08
SLDP,1,28,2026-04-08
SLGN,1,68,2026-04-08
SLP,1,79,2026-04-08
SLSR,1,22,2026-04-08
SLXN,1,21,2026-04-08
SMBK,1,83,2026-04-08
SMTK,1,20,2026-04-08
SNCY,1,19,2026-04-08
SNDK,1,14,2026-04-08
SNDR,1,38,2026-04-08
SNOA,1,108,2026-04-08
SNPS,1,59,2026-04-08
SNTG,1,53,2026-04-08
SOCAU,1,22,2026-04-08
SOFI,1,32,2026-04-08
SOJC,1,39,2026-04-08
SOJD,1,19,2026-04-08
SOJE,1,14,2026-04-08
SONO,1,34,2026-04-08
SORA,1,14,2026-04-08
SORNU,1,17,2026-04-08
SOUN,1,13,2026-04-08
SPCE,1,49,2026-04-08
SPEG,1,61,2026-04-08
SPFI,1,41,2026-04-08
SPHR,1,20,2026-04-08
SPXC,1,84,2026-04-08
SPY,1,111,2026-04-08
SREA,1,16,2026-04-08
SRFM,1,21,2026-04-08
SRI,1,58,2026-04-08
SSD,1,51,2026-04-08
SSEA,1,48,2026-04-08
SSNC,1,54,2026-04-08
SSRM,1,58,2026-04-08
SSYS,1,58,2026-04-08
STBA,1,46,2026-04-08
STEM,1,17,2026-04-08
STEP,1,21,2026-04-08
STHO,1,25,2026-04-08
STLA,1,403,2026-04-08
STLD,1,60,2026-04-08
STM,1,609,2026-04-08
STNE,1,21,2026-04-08
STRL,1,56,2026-04-08
STRS,1,344,2026-04-08
STVN,1,10,2026-04-08
STX,1,79,2026-04-08
SUGP,1,38,2026-04-08
SUIG,1,110,2026-04-08
SUNB,1,2,2026-04-08
SUZ,1,70,2026-04-08
SVACU,1,34,2026-04-08
SVCCU,1,31,2026-04-08
SVM,1,41,2026-04-08
SVV,1,4,2026-04-08
SWIM,1,12,2026-04-08
SWVL,1,80,2026-04-08
SXI,1,55,2026-04-08
SYBT,1,57,2026-04-08
SYF,1,45,2026-04-08
SYM,1,39,2026-04-08
SYNA,1,69,2026-04-08
SZZL,1,53,2026-04-08
TACO,1,27,2026-04-08
TATT,1,683,2026-04-08
TAVIR,1,58,2026-04-08
TAVIU,1,32,2026-04-08
TBBK,1,45,2026-04-08
TCBK,1,49,2026-04-08
TCRX,1,27,2026-04-08
TDG,1,71,2026-04-08
TDOC,1,33,2026-04-08
TDUP,1,12,2026-04-08
TDY,1,61,2026-04-08
TECB,1,199,2026-04-08
TECK,1,145,2026-04-08
TEM,1,5,2026-04-08
TER,1,93,2026-04-08
TEST,1,62,2026-08-27
TFC,1,84,2026-04-08
TFII,1,24,2026-04-08
TFIN,1,34,2026-04-08
TFPM,1,23,2026-04-08
TFSL,1,29,2026-04-08
TGB,1,108,2026-04-08
TGHL,1,10,2026-04-08
TGLS,1,123,2026-04-08
THFF,1,42,2026-04-08
THRM,1,45,2026-04-08
TILE,1,136,2026-04-08
TKR,1,85,2026-04-08
TLN,1,14,2026-04-08
TLNCU,1,37,2026-04-08
TMC,1,41,2026-04-08
TMDX,1,22,2026-04-08
TMHC,1,46,2026-04-08
TMO,1,98,2026-04-08
TMP,1,85,2026-04-08
TNDM,1,38,2026-04-08
TOL,1,69,2026-04-08
TOST,1,24,2026-04-08
TOWN,1,44,2026-04-08
TPG,1,14,2026-04-08
TPR,1,94,2026-04-08
TREE,1,45,2026-04-08
TREX,1,66,2026-04-08
TRMB,1,63,2026-04-08
TRMK,1,49,2026-04-08
TRNO,1,39,2026-04-08
TRNS,1,281,2026-04-08
TROW,1,74,2026-04-08
TRS,1,55,2026-04-08
TRSG,1,50,2026-08-27
TRTX,1,28,2026-04-08
TSBK,1,285,2026-04-08
TSEM,1,258,2026-04-08
TSLA,1,96,2026-04-08
TSLX,1,36,2026-04-08
TSM,1,293,2026-04-08
TTAM,1,6,2026-04-08
TTC,1,51,2026-04-08
TTMI,1,74,2026-04-08
TWLV,1,27,2026-04-08
TXN,1,98,2026-04-08
TXRH,1,60,2026-04-08
TXT,1,80,2026-04-08
U,1,21,2026-04-08
UAA,1,67,2026-04-08
UAL,1,74,2026-04-08
UAMY,1,72,2026-04-08
UBER,1,38,2026-04-08
UBSI,1,41,2026-04-08
UCAR,1,34,2026-04-08
UCB,1,57,2026-04-08
UCRD,1,526,2026-04-08
UFPI,1,52,2026-04-08
UFPT,1,79,2026-04-08
UIS,1,62,2026-04-08
ULCC,1,16,2026-04-08
UMBF,1,56,2026-04-08
UNB,1,764,2026-04-08
UNP,1,76,2026-04-08
UNTY,1,289,2026-04-08
UPBD,1,59,2026-04-08
UPC,1,58,2026-04-08
UPST,1,18,2026-04-08
UPWK,1,22,2026-04-08
URBN,1,78,2026-04-08
URGN,1,18,2026-04-08
URI,1,79,2026-04-08
UROY,1,14,2026-04-08
USAR,1,124,2026-04-08
USAS,1,65,2026-04-08
USB,1,91,2026-04-08
USCB,1,55,2026-04-08
USGO,1,54,2026-04-08
USLM,1,320,2026-04-08
USNA,1,56,2026-04-08
USPH,1,34,2026-04-08
UTSI,1,234,2026-08-27
UUUU,1,37,2026-04-08
UVSP,1,55,2026-04-08
VABK,1,123,2026-04-08
VACH,1,101,2026-04-08
VALE,1,238,2026-04-08
VBNK,1,64,2026-04-08
VBTC,1,89,2026-04-08
VC,1,61,2026-04-08
VCTR,1,25,2026-04-08
VCYT,1,33,2026-04-08
VECO,1,67,2026-04-08
VEEV,1,43,2026-08-27
VFC,1,66,2026-04-08
VGZ,1,104,2026-04-08
VHCP,1,25,2026-08-27
VHCPU,1,19,2026-04-08
VICR,1,45,2026-04-08
VISN,1,46,2026-08-27
VLN,1,48,2026-04-08
VLRS,1,24,2026-04-08
VLY,1,60,2026-04-08
VMC,1,59,2026-04-08
VMI,1,67,2026-04-08
VNT,1,30,2026-04-08
VOXR,1,27,2026-04-08
VPG,1,56,2026-04-08
VRAX,1,36,2026-04-08
VREX,1,22,2026-04-08
VRME,1,82,2026-04-08
VRRM,1,77,2026-04-08
VRTS,1,64,2026-04-08
VSEC,1,67,2026-04-08
VSECU,1,37,2026-04-08
VSH,1,68,2026-04-08
VSME,1,24,2026-04-08
VTRS,1,65,2026-04-08
VVV,1,42,2026-04-08
VYX,1,67,2026-04-08
VZLA,1,51,2026-04-08
WABC,1,35,2026-04-08
WAFD,1,49,2026-04-08
WAY,1,9,2026-04-08
WB,1,76,2026-04-08
WBS,1,80,2026-04-08
WBTN,1,6,2026-04-08
WCC,1,73,2026-04-08
WDC,1,117,2026-04-08
WDH,1,41,2026-04-08
WENN,1,46,2026-04-08
WERN,1,70,2026-04-08
WEYS,1,98,2026-04-08
WFC,1,110,2026-04-08
WFCF,1,190,2026-04-08
WFG,1,5,2026-04-08
WGO,1,54,2026-04-08
WGS,1,21,2026-04-08
WHLRP,1,370,2026-08-27
WHR,1,58,2026-04-08
WILC,1,572,2026-04-08
WLDN,1,212,2026-04-08
WLFC,1,165,2026-04-08
WLYB,1,856,2026-08-27
WMS,1,40,2026-04-08
WNC,1,45,2026-04-08
WNEB,1,73,2026-04-08
WPAC,1,23,2026-04-08
WPM,1,94,2026-04-08
WRBY,1,14,2026-04-08
WRD,1,10,2026-04-08
WSBC,1,48,2026-04-08
WSC,1,89,2026-04-08
WSO,1,54,2026-04-08
WSTN,1,20,2026-04-08
WTFC,1,54,2026-04-08
WTS,1,81,2026-04-08
WWD,1,74,2026-04-08
WWR,1,57,2026-04-08
WWW,1,75,2026-04-08
WYFI,1,7,2026-04-08
WYNN,1,109,2026-04-08
XBIT,1,32,2026-04-08
XCBE,1,26,2026-04-08
XDEF,1,36,2026-04-08
XHR,1,32,2026-04-08
XMTR,1,15,2026-04-08
XP,1,19,2026-04-08
XPEL,1,19,2026-04-08
XRAY,1,51,2026-04-08
XYL,1,64,2026-04-08
XZO,1,4,2026-04-08
YETI,1,27,2026-04-08
YHNA,1,83,2026-04-08
YHNAU,1,38,2026-08-27
YMM,1,35,2026-04-08
YTRA,1,48,2026-04-08
YUMC,1,88,2026-04-08
Z,1,36,2026-04-08
ZBAI,1,154,2026-04-08
ZBRA,1,67,2026-04-08
ZCMD,1,99,2026-04-08
ZDGE,1,121,2026-04-08
ZG,1,44,2026-04-08
ZGM,1,17,2026-04-08
ZGN,1,53,2026-04-08
ZION,1,70,2026-04-08
ZJK,1,16,2026-04-08
ZKIN,1,75,2026-04-08
ZLAB,1,87,2026-08-27
ZS,1,33,2026-08-27
ZUMZ,1,79,2026-04-08
ZVIA,1,10,2026-04-08
ZWS,1,61,2026-04-08
