rule,years_traded,n,hit,mean
expanding_n100_h50,3,81,0.5679012345679012,0.28775065004589245
expanding_n300_h50,1,17,0.7647058823529411,0.38958097124075836
expanding_n300_h52,1,17,0.7647058823529411,0.38958097124075836
expanding_n50_h50,3,35,0.7142857142857143,0.3934203410332253
