label,series,days,rs_from,rs_to,train_hit,oos_n,oos_hit,oos_mean
WF-fixed (best 2021-2023),roc_63_126_252_w122,40,30,95,0.5032258064516129,87,0.6091954022988506,0.37617121224726235
ibd_rs_prod Baseline,ibd_rs_prod,40,40,90,0.4724770642201835,575,0.5930434782608696,0.14677308294882813
