series,days,rs_from,rs_to,n,hit,mean,median,n_2021,hit_2021,mean_2021,n_2022,hit_2022,mean_2022,n_2023,hit_2023,mean_2023,n_2024,hit_2024,mean_2024,n_2025,hit_2025,mean_2025,n_2026,hit_2026,mean_2026
roc_63_126_252_w111,10,20,85,139,0.5035971223021583,0.1335776892167952,0.007086992813544635,21,0.14285714285714285,-0.21293298338319688,22,0.45454545454545453,-0.004610748232118231,43,0.6046511627906976,0.18589356581019886,32,0.625,0.4287160291758708,20,0.5,0.04067259072800524,1,1.0,0.6145398352617415
roc_63_126_252_w111,10,20,90,80,0.575,0.16153699334377686,0.05571818571616438,10,0.0,-0.30531164247135495,12,0.5833333333333334,0.06777018347888328,28,0.6785714285714286,0.1675169122973153,23,0.6956521739130435,0.4244233954370671,6,0.5,0.08279266448043744,1,1.0,0.21386606420909948
roc_63_126_252_w111,10,20,95,39,0.5641025641025641,0.2147279471505323,0.06913603808703583,4,0.0,-0.20571038974505262,5,0.4,-0.09899910944140759,14,0.5714285714285714,-0.06784751448814653,12,0.75,0.7136465801751788,3,0.6666666666666666,0.6214890738602715,1,1.0,0.21386606420909948
roc_63_126_252_w111,10,30,85,220,0.45454545454545453,0.091249688091966,-0.029713951376677594,28,0.14285714285714285,-0.18019310729629998,44,0.3409090909090909,-0.02047189219581985,70,0.5142857142857142,0.11354738909973994,43,0.5581395348837209,0.29829112611806213,28,0.6071428571428571,0.16640476817540575,7,0.5714285714285714,0.08384749602502319
roc_63_126_252_w111,10,30,90,123,0.4634146341463415,0.10094424765654525,-0.043022250723513955,18,0.05555555555555555,-0.21575781851343553,24,0.3333333333333333,-0.016561310848385375,45,0.5111111111111111,0.07937939031803148,26,0.6923076923076923,0.36550353489440374,9,0.6666666666666666,0.378691568842571,1,1.0,0.21386606420909948
roc_63_126_252_w111,10,30,95,43,0.5348837209302325,0.22148578666872798,0.043442604851805955,5,0.0,-0.19212085733032044,6,0.3333333333333333,-0.13323449243594174,14,0.5714285714285714,-0.06784751448814653,13,0.6923076923076923,0.6282615514589304,4,0.75,0.9631247594203538,1,1.0,0.21386606420909948
roc_63_126_252_w111,10,40,85,355,0.4619718309859155,0.07576255281724793,-0.01509912102540456,41,0.21951219512195122,-0.13968995048131305,77,0.35064935064935066,-0.02725649926181552,111,0.4954954954954955,0.06634092683977105,69,0.5652173913043478,0.24183860415499453,43,0.627906976744186,0.23106105146007952,14,0.5,0.06362224164048892
roc_63_126_252_w111,10,40,90,171,0.4853801169590643,0.1317476187693024,-0.0076140421845325434,22,0.09090909090909091,-0.18712665680045862,35,0.34285714285714286,0.02605170740769569,60,0.5333333333333333,0.1101381352374955,37,0.6756756756756757,0.37934623222592995,16,0.6875,0.3047409205670759,1,1.0,0.21386606420909948
roc_63_126_252_w111,10,40,95,62,0.5161290322580645,0.22175105779757473,0.02653610102070636,5,0.0,-0.19212085733032044,11,0.45454545454545453,0.0854400373017934,21,0.5238095238095238,0.013460120927664914,19,0.631578947368421,0.4998022704267998,5,0.6,0.7553115435964497,1,1.0,0.21386606420909948
roc_63_126_252_w111,20,20,85,328,0.47865853658536583,0.12251707399824731,-0.015899565647158664,33,0.15151515151515152,-0.1767641488265773,66,0.3484848484848485,0.02399592756416837,112,0.48214285714285715,0.07222820300658557,66,0.6060606060606061,0.34425167178186966,43,0.6744186046511628,0.30033756484645857,8,0.75,0.0888002000910436
roc_63_126_252_w111,20,20,90,186,0.521505376344086,0.12035691163838914,0.012625769020947697,24,0.08333333333333333,-0.2222110570684709,35,0.5142857142857142,0.12524967209261328,70,0.5142857142857142,0.07857069441894088,43,0.7209302325581395,0.36691270199486264,12,0.75,0.18507206039965243,2,0.5,-0.0811735543792837
roc_63_126_252_w111,20,20,95,85,0.5647058823529412,0.28553300203661447,0.06913603808703583,7,0.0,-0.20968390569925402,14,0.5,0.09045619094053044,34,0.5588235294117647,0.053862849240365204,22,0.6818181818181818,0.5863380277621973,7,0.8571428571428571,1.3610094700985316,1,1.0,0.21386606420909948
roc_63_126_252_w111,20,30,85,575,0.4591304347826087,0.0722904659299817,-0.0309823556705342,62,0.22580645161290322,-0.14262022264816565,146,0.363013698630137,-0.007674043085126655,175,0.4514285714285714,0.025713819901532545,99,0.5656565656565656,0.24375887052724982,67,0.7014925373134329,0.31017260599822627,26,0.5769230769230769,0.08139502836565941
roc_63_126_252_w111,20,30,90,304,0.4769736842105263,0.09265929814986168,-0.023605796466810602,40,0.125,-0.19508469884759955,67,0.3582089552238806,0.042106243499018134,110,0.4727272727272727,0.04504538402617569,58,0.6896551724137931,0.3322730460085829,26,0.8461538461538461,0.32607386110086445,3,0.6666666666666666,0.14864899234270415
roc_63_126_252_w111,20,30,95,125,0.528,0.23116272985519606,0.02044370366339643,9,0.0,-0.19142775148385877,26,0.4230769230769231,0.09180059074491148,51,0.5686274509803921,0.06420270313378242,28,0.5714285714285714,0.4256991142677172,10,0.9,1.2823596512358457,1,1.0,0.21386606420909948
roc_63_126_252_w111,20,40,85,882,0.45918367346938777,0.06293327063937337,-0.02077056730246707,105,0.2857142857142857,-0.10795241657497323,210,0.3619047619047619,-0.014793502252682732,254,0.47244094488188976,0.025328781129026947,164,0.5304878048780488,0.20568060091148554,107,0.6542056074766355,0.27258567826303637,42,0.5238095238095238,0.021230008380124576
roc_63_126_252_w111,20,40,90,463,0.4708423326133909,0.08290556126992778,-0.016317000120090963,63,0.2222222222222222,-0.14401952385571096,101,0.36633663366336633,0.01584772558874303,151,0.44370860927152317,0.02363162446491277,83,0.6265060240963856,0.28870582663268984,56,0.7678571428571429,0.32328226083698447,9,0.5555555555555556,0.04765770446664999
